status_num,expected_amount,location,platform,platform_type,capital,year
0,4660000.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
1,4640000.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
1,4637075.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
1,4601623.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,4597134.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,4590000.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,4500000.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,4480971.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
1,4434290.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,4378949.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
1,4320425.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
1,4300000.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
1,4297683.0,Одеса,Unknown,Громадський бюджет,Людський,2017
1,4239920.0,Київ,Велика Ідея,Краудфандинг,Інфраструктурний,2021
1,4198586.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
1,4175750.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
1,4100002.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,4094450.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,4051170.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,4000000.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,4000000.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,4000000.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,4000000.0,Одеса,Unknown,Громадський бюджет,Соціальний,2017
0,3963800.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
1,3963800.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,3800700.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
1,3787598.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,3776000.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,3600000.0,Київ,Велика Ідея,Краудфандинг,Інфраструктурний,2019
0,3545630.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,3524405.0,Одеса,Unknown,Громадський бюджет,Культурний,2017
0,3450000.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,3413674.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
1,3188000.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,3178000.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,3099000.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,3086120.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,3064000.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,3046930.0,Одеса,Unknown,Громадський бюджет,Людський,2017
1,3000000.0,Миколаїв,Велика Ідея,Краудфандинг,Соціальний,2021
1,3000000.0,Unknown,na-starte,Краудфандинг,Культурний,2016
0,3000000.0,Київ,Велика Ідея,Краудфандинг,Інфраструктурний,2016
0,3000000.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2019
0,3000000.0,Київ,Unknown,Громадський бюджет,Інфраструктурний,2018
0,3000000.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2018
0,3000000.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2019
0,3000000.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2018
0,3000000.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2018
0,3000000.0,Київ,Unknown,Громадський бюджет,Інфраструктурний,2021
0,3000000.0,Київ,Unknown,Громадський бюджет,Інфраструктурний,2018
0,3000000.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2017
0,3000000.0,Київ,Unknown,Громадський бюджет,Людський,2018
0,3000000.0,Київ,Unknown,Громадський бюджет,Інфраструктурний,2018
0,3000000.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2019
0,3000000.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2019
1,3000000.0,Біла Церква,Unknown,Громадський бюджет,Інфраструктурний,2020
0,3000000.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2019
0,3000000.0,Київ,Unknown,Громадський бюджет,Інфраструктурний,2021
